Tweet Date,Display Name,User Name,Tweet URL,Media Type,Media URL,Saved Filename,Tweet Content,Favorite Count,Retweet Count,Reply Count
2024/7/28 10:31,Kamala Harris,@KamalaHarris,https://x.com/KamalaHarris/status/1817387334611976227/photo/1,Image,https://pbs.twimg.com/media/GTioGA3WgAAJHy0.jpg,2024-07-28 10-31-img_796.jpg,"Day One of our 100 Days Out Weekend of Action made it clear: This is a people-powered campaign.

I am grateful to those of you who knocked doors, made calls, donated, and even decorated your golf carts. https://t.co/07Bpixqa3b",30374,5528,3405
2024/7/28 10:31,Kamala Harris,@KamalaHarris,https://x.com/KamalaHarris/status/1817387334611976227/photo/1,Image,https://pbs.twimg.com/media/GTioIdJXkAE0QrN.jpg,2024-07-28 10-31-img_798.jpg,"Day One of our 100 Days Out Weekend of Action made it clear: This is a people-powered campaign.

I am grateful to those of you who knocked doors, made calls, donated, and even decorated your golf carts. https://t.co/07Bpixqa3b",30374,5528,3405
2024/7/28 10:31,Kamala Harris,@KamalaHarris,https://x.com/KamalaHarris/status/1817387334611976227/photo/1,Image,https://pbs.twimg.com/media/GTioHO9WIAA6pI2.jpg,2024-07-28 10-31-img_797.jpg,"Day One of our 100 Days Out Weekend of Action made it clear: This is a people-powered campaign.

I am grateful to those of you who knocked doors, made calls, donated, and even decorated your golf carts. https://t.co/07Bpixqa3b",30374,5528,3405
2024/7/28 10:31,Kamala Harris,@KamalaHarris,https://x.com/KamalaHarris/status/1817387334611976227/photo/1,Image,https://pbs.twimg.com/media/GTioEzaXcAASs-g.jpg,2024-07-28 10-31-img_795.jpg,"Day One of our 100 Days Out Weekend of Action made it clear: This is a people-powered campaign.

I am grateful to those of you who knocked doors, made calls, donated, and even decorated your golf carts. https://t.co/07Bpixqa3b",30374,5528,3405
2024/7/28 7:38,Kamala Harris,@KamalaHarris,https://x.com/KamalaHarris/status/1817343797950357549/photo/1,Image,https://pbs.twimg.com/media/GTiAeojW4AA6KWr.jpg,2024-07-28 07-38-img_799.jpg,"Our people-powered campaign has been on the ground across the country for the 100 Days Out Weekend of Action. 

Join us: https://t.co/oce43fcADK https://t.co/7wQ5EONqtL",15634,3283,1730
2024/7/28 7:38,Kamala Harris,@KamalaHarris,https://x.com/KamalaHarris/status/1817343797950357549/photo/1,Image,https://pbs.twimg.com/media/GTiAhEIWcAAhBAv.jpg,2024-07-28 07-38-img_801.jpg,"Our people-powered campaign has been on the ground across the country for the 100 Days Out Weekend of Action. 

Join us: https://t.co/oce43fcADK https://t.co/7wQ5EONqtL",15634,3283,1730
2024/7/28 7:38,Kamala Harris,@KamalaHarris,https://x.com/KamalaHarris/status/1817343797950357549/photo/1,Image,https://pbs.twimg.com/media/GTiAiSXWMAAVLVG.jpg,2024-07-28 07-38-img_802.jpg,"Our people-powered campaign has been on the ground across the country for the 100 Days Out Weekend of Action. 

Join us: https://t.co/oce43fcADK https://t.co/7wQ5EONqtL",15634,3283,1730
2024/7/28 5:27,Kamala Harris,@KamalaHarris,https://x.com/KamalaHarris/status/1817310831022907761/photo/1,Image,https://pbs.twimg.com/media/GThiftWXAAAFZhM.jpg,2024-07-28 05-27-img_803.jpg,"Our freedoms are on the line up and down the ballot in November. 

Across the country, at the doors and online, supporters of this campaign are energized to elect Democrats who will protect them.

Let’s get to work: https://t.co/oce43fcADK https://t.co/7M2JciQjFI",21836,5018,3075
2024/7/28 5:27,Kamala Harris,@KamalaHarris,https://x.com/KamalaHarris/status/1817310831022907761/photo/1,Image,https://pbs.twimg.com/media/GThig66XAAAjhcZ.jpg,2024-07-28 05-27-img_804.jpg,"Our freedoms are on the line up and down the ballot in November. 

Across the country, at the doors and online, supporters of this campaign are energized to elect Democrats who will protect them.

Let’s get to work: https://t.co/oce43fcADK https://t.co/7M2JciQjFI",21836,5018,3075
2024/7/28 2:53,Kamala Harris,@KamalaHarris,https://x.com/KamalaHarris/status/1817272079386841145/video/1,Video,https://video.twimg.com/amplify_video/1817271992552230912/vid/avc1/1080x1920/g7PfGLSya6E3-4fi.mp4?tag=16,2024-07-28 02-53-vid_807.mp4,It was a pleasure to visit the @RuPaulsDragRace Werk Room to remind Americans that our vote is our power—make sure your voice is heard this November! https://t.co/pdXefaePN4,72099,10683,5447
2024/7/28 5:27,Kamala Harris,@KamalaHarris,https://x.com/KamalaHarris/status/1817310831022907761/photo/1,Image,https://pbs.twimg.com/media/GThijXTWwAA74Lh.jpg,2024-07-28 05-27-img_806.jpg,"Our freedoms are on the line up and down the ballot in November. 

Across the country, at the doors and online, supporters of this campaign are energized to elect Democrats who will protect them.

Let’s get to work: https://t.co/oce43fcADK https://t.co/7M2JciQjFI",21836,5018,3075
2024/7/28 5:27,Kamala Harris,@KamalaHarris,https://x.com/KamalaHarris/status/1817310831022907761/photo/1,Image,https://pbs.twimg.com/media/GThiiJEXkAAFjuS.jpg,2024-07-28 05-27-img_805.jpg,"Our freedoms are on the line up and down the ballot in November. 

Across the country, at the doors and online, supporters of this campaign are energized to elect Democrats who will protect them.

Let’s get to work: https://t.co/oce43fcADK https://t.co/7M2JciQjFI",21836,5018,3075
2024/7/27 22:43,Kamala Harris,@KamalaHarris,https://x.com/KamalaHarris/status/1817209185026617839/video/1,Video,https://video.twimg.com/amplify_video/1817209078210273280/vid/avc1/1080x1350/RbHXCH6pSgw0fgo-.mp4?tag=16,2024-07-27 22-43-vid_808.mp4,"When we fight, we win. So today, I’m kicking off a 100 Days Out Weekend of Action.

Let’s get to work.

Volunteer: https://t.co/3XPYpC33O3
Apply: https://t.co/F1yDKeBbDx
Phone bank: https://t.co/H7skZaKdZw
Donate: https://t.co/SI0IZkC0Xk
Buy a yard sign: https://t.co/RB3FEqxA3F https://t.co/z5O1Bvhqos",36428,12356,3966
2024/7/27 8:47,Kamala Harris,@KamalaHarris,https://x.com/KamalaHarris/status/1816998711056052463/photo/1,Image,https://pbs.twimg.com/media/GTdGroNWIAAkEt7.jpg,2024-07-27 08-47-img_809.jpg,"Today, I signed the forms officially declaring my candidacy for President of the United States.

I will work hard to earn every vote.

And in November, our people-powered campaign will win. https://t.co/nIZLnt9oN7",312829,35421,17547
2024/7/26 17:01,Kamala Harris,@KamalaHarris,https://x.com/KamalaHarris/status/1816760632982622245/video/1,Video,https://video.twimg.com/amplify_video/1816760421677666304/vid/avc1/1080x1920/rm--OFwQhXzOsYOa.mp4?tag=16,2024-07-26 17-01-vid_810.mp4,"It means so much to have your endorsements, @MichelleObama and @BarackObama.

Let’s get to work. https://t.co/rAuTyIlCai",230421,34527,11658
